name,code,pop,location,new_cases,icu_patients,new_deaths
Nepal,NPL,27093656,Nepal,808,0,697
Nauru,NRU,10111,Nauru,0,0,0
Suriname,SUR,452468,Suriname,760,0,740
Nicaragua,NIC,5462539,Nicaragua,755,0,747
New Zealand,NZL,4097112,New Zealand,771,0,745
Paraguay,PRY,5904342,Paraguay,766,0,754
Peru,PER,27274266,Peru,768,0,766
Pakistan,PAK,158080591,Pakistan,778,0,756
Poland,POL,38195558,Poland,770,0,762
Panama,PAN,3231502,Panama,764,0,763
Portugal,PRT,10528226,Portugal,771,734,757
Papua New Guinea,PNG,6069715,Papua New Guinea,753,0,623
Guinea-Bissau,GNB,1596929,Guinea-Bissau,749,0,717
Qatar,QAT,796186,Qatar,774,0,746
Romania,ROU,21627557,Romania,777,729,752
Philippines,PHL,84566163,Philippines,802,0,800
Puerto Rico,PRI,3946779,Puerto Rico,0,0,0
Russia,RUS,143953092,Russia,803,0,755
Rwanda,RWA,9233793,Rwanda,760,0,683
Saudi Arabia,SAU,2361236,Saudi Arabia,772,0,750
Saint Kitts and Nevis,KNA,49138,Saint Kitts and Nevis,749,0,300
Seychelles,SYC,85532,Seychelles,756,0,463
South Africa,ZAF,47938663,South Africa,768,103,745
Lesotho,LSO,1980831,Lesotho,700,0,643
Botswana,BWA,1835938,Botswana,744,0,743
Senegal,SEN,1177034,Senegal,772,0,741
Slovenia,SVN,1999425,Slovenia,769,755,760
Sierra Leone,SLE,5586403,Sierra Leone,743,0,720
Singapore,SGP,4327468,Singapore,811,0,753
Somalia,SOM,8196395,Somalia,758,0,734
Spain,ESP,43397491,Spain,794,619,763
Saint Lucia,LCA,16124,Saint Lucia,760,0,519
Sudan,SDN,36899747,Sudan,759,0,760
Sweden,SWE,9038049,Sweden,797,744,752
Switzerland,CHE,7424389,Switzerland,778,743,753
Trinidad and Tobago,TTO,1323722,Trinidad and Tobago,760,0,749
Thailand,THA,63002911,Thailand,809,0,770
Tajikistan,TJK,6550213,Tajikistan,712,0,710
Tokelau,TKL,1401,Tokelau,0,0,0
Tonga,TON,99361,Tonga,166,0,32
Togo,TGO,6238572,Togo,768,0,747
Sao Tome and Principe,STP,152622,Sao Tome and Principe,736,0,711
Tunisia,TUN,10104685,Tunisia,770,0,755
Turkey,TUR,72969723,Turkey,762,0,757
Tuvalu,TUV,10441,Tuvalu,0,0,0
Turkmenistan,TKM,4833266,Turkmenistan,0,0,0
Uganda,UGA,28947181,Uganda,751,0,627
United Kingdom,GBR,60244834,United Kingdom,800,740,766
Ukraine,UKR,46917544,Ukraine,771,0,761
United States,USA,299846449,United States,811,635,774
Burkina Faso,BFA,13933363,Burkina Faso,764,0,756
Uruguay,URY,3325727,Uruguay,760,0,746
Uzbekistan,UZB,26593123,Uzbekistan,759,0,747
Saint Vincent and the Grenadines,VCT,119137,Saint Vincent and the Grenadines,759,0,453
Venezuela,VEN,26725573,Venezuela,760,0,746
British Virgin Islands,VGB,22016,British Virgin Islands,746,0,724
United States Virgin Islands,VIR,111408,United States Virgin Islands,0,0,0
Namibia,NAM,2019677,Namibia,760,0,641
Samoa,WSM,183845,Samoa,511,0,12
Yemen,YEM,21095679,Yemen,732,0,713
Zambia,ZMB,11478317,Zambia,755,0,741
Zimbabwe,ZWE,13119679,Zimbabwe,753,0,751
Indonesia,IDN,226063044,Indonesia,772,0,763
United Arab Emirates,ARE,4104291,United Arab Emirates,805,0,754
Palau,PLW,20127,Palau,234,0,61
Marshall Islands,MHL,5672,Marshall Islands,531,0,0
Saint Pierre and Miquelon,SPM,6346,Saint Pierre and Miquelon,737,0,71
Saint Helena,SHN,6399,Saint Helena,583,0,0
San Marino,SMR,30214,San Marino,774,0,774
Turks and Caicos Islands,TCA,24459,Turks and Caicos Islands,745,0,738
Serbia,SRB,9863026,Serbia,768,741,753
Guernsey,GGY,0,Guernsey,0,0,0
Jersey,JEY,0,Jersey,0,0,0
Taiwan,TWN,23588932,Taiwan,809,0,787
